Date,Close,Open,High,Low,Change
2010-03-30,6.8258,6.8258,6.827,6.8251,-0.0001
2010-03-31,6.8259,6.8251,6.8265,6.8251,0.0
2010-04-01,6.8264,6.8253,6.8276,6.8252,0.0001
2010-04-02,6.8256,6.8256,6.8268,6.825,-0.0001
2010-04-05,6.8256,6.825,6.8256,6.825,0.0
2010-04-06,6.8255,6.8254,6.8268,6.8254,-0.0
2010-04-07,6.8255,6.8256,6.8263,6.8245,0.0
2010-04-08,6.8241,6.8249,6.8264,6.8232,-0.0002
2010-04-09,6.8234,6.824,6.826,6.823,-0.0001
2010-04-12,6.8257,6.823,6.8263,6.823,0.0003
2010-04-13,6.8256,6.8262,6.8271,6.825,-0.0
2010-04-14,6.8258,6.825,6.8266,6.8245,0.0
2010-04-15,6.8261,6.8254,6.8263,6.825,0.0
2010-04-16,6.8255,6.8255,6.8264,6.8249,-0.0001
2010-04-19,6.8262,6.8247,6.8274,6.8247,0.0001
2010-04-20,6.8254,6.8254,6.8266,6.8249,-0.0001
2010-04-21,6.8276,6.8248,6.8278,6.8248,0.0003
2010-04-22,6.8264,6.8256,6.8276,6.8251,-0.0002
2010-04-23,6.8275,6.8268,6.8305,6.8255,0.0002
2010-04-26,6.8267,6.8261,6.8278,6.8251,-0.0001
2010-04-27,6.8257,6.8258,6.8278,6.8248,-0.0001
2010-04-28,6.825,6.8253,6.8276,6.825,-0.0001
2010-04-29,6.8259,6.8245,6.8262,6.8245,0.0001
2010-04-30,6.8252,6.8258,6.8268,6.825,-0.0001
2010-05-03,6.825,6.825,6.825,6.825,-0.0
2010-05-04,6.8265,6.825,6.8273,6.824,0.0002
2010-05-05,6.8263,6.8258,6.827,6.8255,-0.0
2010-05-06,6.8266,6.8258,6.827,6.8254,0.0
2010-05-07,6.8257,6.826,6.8281,6.8253,-0.0001
2010-05-10,6.8266,6.8253,6.8269,6.8253,0.0001
2010-05-11,6.829,6.8262,6.8296,6.826,0.0004
2010-05-12,6.8277,6.8278,6.8296,6.8262,-0.0002
2010-05-13,6.8279,6.8275,6.8285,6.8262,0.0
2010-05-14,6.8268,6.8278,6.8283,6.826,-0.0002
2010-05-17,6.8277,6.8262,6.8286,6.8262,0.0001
2010-05-18,6.8274,6.8269,6.8281,6.8259,-0.0
2010-05-19,6.8274,6.827,6.8286,6.8265,0.0
2010-05-20,6.8278,6.8269,6.828,6.8264,0.0001
2010-05-21,6.8262,6.827,6.8278,6.8262,-0.0002
2010-05-24,6.8287,6.8271,6.8287,6.8261,0.0004
2010-05-25,6.8313,6.8277,6.8324,6.8272,0.0004
2010-05-26,6.8293,6.8286,6.8316,6.8277,-0.0003
2010-05-27,6.8296,6.829,6.8316,6.8275,0.0
2010-05-28,6.8308,6.8298,6.8317,6.8277,0.0002
2010-05-31,6.8278,6.8296,6.8312,6.826,-0.0004
2010-06-01,6.8287,6.8283,6.832,6.8272,0.0001
