Date,Open,High,Low,Close,Volume,Change
2010-03-03,15130,15130,14920,15052,0,-0.002782562607658634
2010-03-04,15085,15378,14961,15344,0,0.019399415360084937
2010-03-05,15379,16047,15336,15720,0,0.02450469238790398
2010-03-08,16093,16216,15716,15805,0,0.005407124681933828
2010-03-09,15798,16048,15170,15763,0,-0.0026573869028788666
2010-03-10,16303,17515,15968,16014,0,0.015923364841717857
2010-03-11,16132,16259,15798,15888,0,-0.007868115399025877
2010-03-12,16047,16047,15671,15720,0,-0.010574018126888185
2010-03-15,15589,15800,15339,15805,0,0.005407124681933828
2010-03-16,15842,16135,15635,16014,0,0.013223663397659013
2010-03-17,16135,16135,15926,16055,0,0.002560259772698803
2010-03-18,16048,16048,15671,15847,0,-0.012955465587044523
2010-03-19,15840,15925,15673,15805,0,-0.002650343913674469
2010-03-22,15928,16263,15803,16265,0,0.029104713698196782
2010-03-23,16677,16761,16217,16389,0,0.007623731939747858
2010-03-24,16636,16677,16134,16139,0,-0.015254133870278852
2010-03-25,16135,16303,15883,16014,0,-0.007745213458082878
2010-03-26,16050,16428,15883,16389,0,0.023417010116148385
2010-03-29,16387,16930,16304,16725,0,0.020501555921654813
2010-03-30,16930,16972,16598,16725,0,0.0
2010-03-31,16803,16844,16428,16598,0,-0.007593423019432
2010-04-01,16637,16722,16470,16642,0,0.0026509217978070154
2010-04-02,16721,16721,16095,16307,0,-0.020129792092296594
2010-04-05,16298,16340,15336,15679,0,-0.03851106886613109
2010-04-06,15630,15837,15545,15679,0,0.0
2010-04-07,15800,16093,15757,15805,0,0.00803622680017857
2010-04-08,16009,16135,15841,16055,0,0.01581777918380256
2010-04-09,16091,16091,15671,15763,0,-0.018187480535658662
2010-04-12,15669,15797,15504,15596,0,-0.010594429994290389
2010-04-13,15635,15970,15592,15930,0,0.021415747627596904
2010-04-14,16010,16386,15968,16223,0,0.01839296924042677
2010-04-15,16263,16303,15883,16014,0,-0.01288294396843992
2010-04-16,15883,16094,15841,16055,0,0.002560259772698803
2010-04-19,15838,15881,15587,15763,0,-0.018187480535658662
2010-04-20,15840,15883,15548,15805,0,0.0026644674237137345
2010-04-21,15800,15967,15633,15805,0,0.0
2010-04-22,15885,16679,15802,16683,0,0.05555204049351481
2010-04-23,16722,16929,16387,16683,0,0.0
2010-04-26,16722,16930,16470,16725,0,0.002517532817838619
2010-04-27,16636,18768,16636,17979,0,0.07497757847533637
2010-04-28,17890,18602,17598,18313,0,0.018577228989376415
2010-04-29,18395,19064,18184,18356,0,0.002348058756074911
2010-04-30,18603,18854,17936,18105,0,-0.013674003050773598
2010-05-03,18057,18225,17430,17728,0,-0.02082297707815517
2010-05-04,17936,18395,17724,18105,0,0.021265794223826795
2010-05-06,17724,18269,17600,18064,0,-0.0022645677989505675
2010-05-07,17845,19058,17553,18857,0,0.04389946855624438
2010-05-10,18807,18892,18471,18689,0,-0.008909158402715223
2010-05-11,18810,19355,16262,18020,0,-0.03579645780940666
2010-05-12,17054,17554,16886,17227,0,-0.0440066592674806
2010-05-13,17640,18518,17430,18396,0,0.06785859406745232
2010-05-14,18395,18520,17936,18523,0,0.0069036747118937924
2010-05-17,18225,18644,17640,17979,0,-0.02936889272795984
2010-05-18,18144,18395,17181,18230,0,0.013960731965070305
2010-05-19,18184,18519,17892,18439,0,0.01146461876028515
2010-05-20,18514,18640,16759,17142,0,-0.0703400401323282
2010-05-24,16634,17220,16259,17227,0,0.004958581262396455
2010-05-25,16844,16970,15926,16055,0,-0.06803273930457998
2010-05-26,16177,16428,15674,16389,0,0.020803488009965676
2010-05-27,16136,16722,15928,16725,0,0.020501555921654813
2010-05-28,17094,17721,17012,17478,0,0.045022421524663736
2010-05-31,17556,17807,17222,17811,0,0.01905252317198758
2010-06-01,17598,17848,17261,17478,0,-0.01869631126831728
2010-06-03,17638,17638,17054,17227,0,-0.014360910859366083
2010-06-04,17135,17386,16841,16975,0,-0.01462819991873221
