Date,Close,Open,High,Low,Volume,Change
2010-07-06,84.306,84.95,85.075,84.04,19220.0,-0.0066
2010-07-07,84.038,84.28,84.595,83.965,19010.0,-0.0032
2010-07-08,84.036,84.195,84.245,83.88,17820.0,-0.0
2010-07-09,84.152,83.995,84.315,83.835,16390.0,0.0014000000000000002
2010-07-12,84.407,84.08,84.635,84.08,12710.0,0.003
2010-07-13,83.821,84.425,84.725,83.545,25690.0,-0.0069
2010-07-14,83.598,83.71,83.875,83.365,16820.0,-0.0027
2010-07-15,82.743,83.59,83.685,82.43,25130.0,-0.0102
2010-07-16,82.658,82.61,82.795,82.25,22190.0,-0.001
2010-07-19,82.705,82.79,82.995,82.5,18980.0,0.0006
2010-07-20,82.929,82.82,83.27,82.355,17820.0,0.0027
2010-07-21,83.593,82.88,83.64,82.76,19000.0,0.008
2010-07-22,82.782,83.47,83.545,82.64,21060.0,-0.0097
2010-07-23,82.629,82.69,83.22,82.39,25680.0,-0.0018
2010-07-26,82.242,82.7,82.815,82.135,15880.0,-0.004699999999999999
2010-07-27,82.328,82.23,82.53,81.97,15690.0,0.001
2010-07-28,82.31,82.305,82.425,82.07,14000.0,-0.0002
2010-07-29,81.754,82.22,82.285,81.6,16100.000000000002,-0.0068000000000000005
2010-07-30,81.655,81.76,82.08,81.565,17160.0,-0.0012
2010-08-02,81.055,81.57,81.67,80.9,16290.0,-0.0073
2010-08-03,80.684,81.01,81.13,80.555,14530.0,-0.0046
2010-08-04,80.992,80.72,81.22,80.6,17990.0,0.0038
2010-08-05,80.93,81.09,81.225,80.625,14150.0,-0.0008
2010-08-06,80.496,80.89,81.23,80.17,20210.0,-0.0054
2010-08-09,80.789,80.485,80.84,80.345,11860.0,0.0036
2010-08-10,80.924,80.845,81.65,80.775,32680.0,0.0017000000000000001
2010-08-11,82.428,81.09,82.63,81.08,31550.0,0.018600000000000002
2010-08-12,82.767,82.59,82.935,82.235,17750.0,0.0040999999999999995
2010-08-13,83.038,82.7,83.35,82.29,15140.0,0.0033
2010-08-16,82.635,83.03,83.14,82.35,11210.0,-0.0049
2010-08-17,82.324,82.575,82.61,82.115,13810.0,-0.0038
2010-08-18,82.31,82.37,82.605,81.995,14080.0,-0.0002
2010-08-19,82.54,82.625,82.835,82.095,20380.0,0.0028000000000000004
2010-08-20,83.16,82.58,83.43,82.515,21300.0,0.0075
2010-08-23,83.228,83.165,83.375,82.955,18630.0,0.0008
2010-08-24,83.206,83.445,83.635,82.895,37590.0,-0.0003
2010-08-25,83.331,83.365,83.57,83.0,25560.0,0.0015
2010-08-26,82.983,83.26,83.33,82.665,29450.0,-0.0042
2010-08-27,82.968,82.975,83.235,82.69,23100.0,-0.0002
2010-08-30,83.226,82.85,83.405,82.79,14730.0,0.0031
2010-08-31,83.254,83.24,83.4,82.925,21730.0,0.0003
2010-09-01,82.549,83.18,83.265,82.225,23570.0,-0.0085
2010-09-02,82.501,82.545,82.635,82.305,17230.0,-0.0006
