Date,Close,Open,High,Low,Change
2010-03-30,92.93,92.43,93.02,92.13,0.0054
2010-03-31,93.47,92.84,93.63,92.73,0.0059
2010-04-01,93.74,93.53,94.04,93.29,0.0029
2010-04-02,94.61,93.74,94.69,93.61,0.009300000000000001
2010-04-05,94.28,94.53,94.6,94.09,-0.0034999999999999996
2010-04-06,93.64,94.28,94.29,93.57,-0.0068000000000000005
2010-04-07,93.21,93.64,94.26,93.15,-0.0045000000000000005
2010-04-08,93.42,93.21,93.53,92.83,0.0023
2010-04-09,93.18,93.42,93.78,93.11,-0.0026
2010-04-12,93.21,93.09,93.61,93.05,0.0003
2010-04-13,93.24,93.21,93.41,92.57,0.0004
2010-04-14,93.31,93.24,93.71,92.83,0.0007000000000000001
2010-04-15,93.01,93.22,93.55,92.85,-0.0032
2010-04-16,92.18,93.13,93.13,91.9,-0.009000000000000001
2010-04-19,92.47,91.96,92.54,91.6,0.0032
2010-04-20,93.12,92.47,93.39,92.47,0.006999999999999999
2010-04-21,93.0,93.12,93.44,92.94,-0.0012
2010-04-22,93.54,93.0,93.63,92.75,0.0058
2010-04-23,93.96,93.54,94.32,93.32,0.0045000000000000005
2010-04-26,93.89,94.18,94.36,93.81,-0.0009
2010-04-27,93.19,93.89,94.03,92.82,-0.0074
2010-04-28,94.01,93.19,94.32,93.0,0.0088
2010-04-29,93.96,94.01,94.26,93.86,-0.0005
2010-04-30,93.86,93.96,94.59,93.83,-0.0012
2010-05-03,94.66,94.12,94.78,93.85,0.0086
2010-05-04,94.9,94.66,94.97,94.33,0.0025
2010-05-05,93.88,94.9,94.99,93.54,-0.010700000000000001
2010-05-06,91.36,93.88,93.97,87.98,-0.0268
2010-05-07,91.6,91.36,93.24,90.84,0.0026
2010-05-10,93.02,92.17,93.54,91.85,0.015600000000000001
2010-05-11,92.81,93.01,93.26,92.22,-0.0023
2010-05-12,93.19,92.81,93.29,92.46,0.0040999999999999995
2010-05-13,92.6,93.19,93.64,92.59,-0.0064
2010-05-14,92.51,92.6,93.08,91.81,-0.0009
2010-05-17,92.54,92.25,92.69,91.77,0.0003
2010-05-18,91.86,92.54,92.97,91.86,-0.0073
2010-05-19,91.78,91.86,92.14,90.94,-0.001
2010-05-20,89.87,91.78,91.88,88.97,-0.0208
2010-05-21,89.99,89.87,90.48,89.23,0.0013
2010-05-24,90.11,90.18,90.62,89.75,0.0013
2010-05-25,90.33,90.11,90.49,89.26,0.0025
2010-05-26,89.98,90.33,90.67,89.82,-0.0039000000000000003
2010-05-27,90.99,89.98,91.08,89.93,0.011200000000000002
2010-05-28,91.07,90.99,91.41,90.61,0.0008
2010-05-31,91.16,91.24,91.62,90.94,0.001
2010-06-01,91.17,91.16,91.46,90.54,0.0001
2010-06-02,92.09,91.17,92.36,91.02,0.0101
2010-06-03,92.59,92.09,92.8,92.04,0.0054
2010-06-04,91.89,92.59,92.89,91.43,-0.0076
2010-06-07,91.56,91.63,92.08,90.98,-0.0034999999999999996
2010-06-08,91.35,91.56,91.93,90.84,-0.0023
2010-06-09,91.35,91.35,91.67,91.06,0.0
2010-06-10,91.49,91.35,91.55,90.86,0.0015
